AB 20,Careers in Agriculture  Environmental Science and Natural Resources
AB 22,Agricultural Economics
AB 25,Computer Applications in Agriculture
AB 26,Introduction to Agriculture Business
AB 50,Agricultural Accounting
AB 54,Supervision and Management in Agriculture
ACCT 2,Financial Accounting
ACCT 128,Bookkeeping
ACCT 4,Managerial Accounting
ACCT 20,Introduction to Accounting
ACCT 30,Accounting Capstone
ACCT 97,Special Problems
ACCT 99,Work Experience
ACCT 100,QuickBooks Pro
ACCT 105,Income Tax Preparation
ACCT 110,Accounting for Payroll
AET 22,Natural Resources and Agri
AET 26,Basic Surveying
AET 30,Tractors and Crawlers
AET 34,Farm Machinery
AET 35,Heavy Equipment Methods
AET 36,Heavy Equipment Operation
AET 38,Diesel Engines and Machine Systems
AET 43,Hydraulic and Pneumatic Systems
AET 44,Grade Setting
AGS 99,Work Experience
AGS 10,World Food and Hunger Issues
AGS 20,Plant Science
AGS 30,Ecology of Insect and Disease Management
AGS 40,Introduction to Animal Science
AGS 45,Feeds and Feeding
AGS 50,General Soils
AGS 51,Fertilizers and Plant Nutrition
AGS 97,Special Problems
AGS 104B,Organic Farming Techniques
AJ 1,Criminology
AJ 2,Administration of Justice
AJ 3,Legal Research
AJ 4,Criminal Law
AJ 6,Evidence
AJ 7,Report Writing for Law Enforcement Officers
AJ 8,Criminal Investigation
AJ 10,Juvenile Procedures
AJ 11,Criminal Procedure
AJ 13,Organized Crime/Gangs
AJ 14,Community Oriented Policing
AJ 97,Special Problems
AJ 99,Work Experience
AJLE 1,Crisis Intervention Training
AJLE 100,Law Enforcement Academy Physical Training
AJLE 140,Law Enforcement Academy
AJLE 141,Law Enforcement Academy; Fish and Game Emphasis
AJLE 142,Supplemental Law Enforcement Academy; Fish and Game
AJLE 150,Level I Module Academy Preparation Review
AJLE 151A,PC 832 Arrest Module
AJLE 151B,PC 832 Firearms Module
AJLE 153,Level I Module Academy
AJLE 164,POST Dispatcher Course
ALH 2,Basic Emergency Response & Health Careers
ALH 99,Work Experience
ALH 104,Medical Terminology
ANTH 2,Physical Anthropology
ANTH 2H,Honors Physical Anthropology
ANTH 4,Cultural Anthropology
ANTH 4H,Honors Cultural Anthropology
ANTH 13,Magic  Witchcraft and Religion
ANTH 14,Language and Culture
ANTH 16,Archaeology and Ancient Societies
ANTH 17,Introduction to Linguistics
ANTH 18,World Cultures
ANTH 32,Native Americans
ANTH 33,Ancient Mesoamerica
ANTH 34,Native Americans Today
ANTH 95,Special Studies
ART 39,Business of Graphic Design
ART 50,Beginning Ceramics
ART 52,Intermediate Ceramics
ART 54,Ceramics
ART 56,Advanced Ceramics
ART 60,Beginning Sculpture
ART 63,Intermediate Sculpture  Clay
ART 70,Gallery Production/Business of Art
ART 81,Introduction to Fiber Arts
ART 95,Special Studies
ART 99,Work Experience
ART 1,Art Appreciation
ART 2,Art History Survey I
ART 2H,Honors Art History Survey I
ART 3,Asian Art History Survey
ART 4,Art History Survey II
ART 4H,Honors Art History Survey II
ART 5,Survey of Modern Art
ART 6,African  Oceanic  and Native American Art History Survey
ART 7,2-D Foundations
ART 8,Basic Drawing
ART 9,3-D Foundations
ART 11,Intermediate Drawing
ART 14,Basic Figure Drawing
ART 15,Intermediate Figure Drawing
ART 16,Advanced Figure Drawing
ART 17,Beginning Painting
ART 18,Intermediate Painting
ART 19,Advanced Painting
ART 22,Screen Printing
ART 23,Introduction to Printmaking
ART 31,Graphic Design I
ART 32,Creative Typography
ART 34,Graphic Design II
ART 35,Illustration Art I
ART 36,Illustration Art II
AUT 1,Introduction to Automotive Technology
AUT 2,Honda Express Service
AUT 6,Automotive Electrical Systems Lecture
AUT 7,Automotive Electrical Systems Lab
AUT 8,Auto Engines Lecture
AUT 9,Automotive Engines Lab
AUT 20,Automotive Brakes/Suspension and Steering Systems Lecture
AUT 21,Automotive Brakes/Suspension and Steering Systems Lab
AUT 22,Automotive Heating and Air Conditioning Lecture
AUT 23,Automotive Heating and Air Conditioning Lab
AUT 30,Engine Performance and Emission Controls Lecture
AUT 31,Engine Performance and Emission Controls Lab
AUT 41,Specialized Automotive Electronics and Microcomputers
AUT 42,Advanced Specialized Automotive Electronics and Microcomputers
AUT 52,Automatic Transmissions/Transaxles Lecture
AUT 53,Automatic Transmissions/Transaxles Lab
AUT 56,Manual Transmissions/Drivetrains Lecture
AUT 57,Manual Transmissions/Drivetrains Lab
AUT 60,Hybrid and Alternative Fuel Technologies
AUT 97,Special Problems
AUT 99,Work Experience
AUT 114,Auto Body Repair
AUT 115,Automotive Painting
AUT 200,Chassis  Engines  Electrical  Auto Skills Practice
AUT 201,Emissions and Transmissions Auto Skills Practice
BCIS 12,Business Writing Skills
BCIS 13,Business Communication
BCIS 18,Introduction to Business Technology
BCIS 20,Beginning Keyboarding
BCIS 24,Keyboarding Speed/Accuracy Development
BCIS 28,Microsoft Word for Windows
BCIS 31,Business Presentation Software
BCIS 33,Skills for the Working Professional
BCIS 46,Electronic Calculator (Ten
BCIS 47,Desktop Publishing
BCIS 50,Office Administration
BCIS 51,Records Management
BCIS 59,Beginning Legal Office Procedures
BCIS 60,Advanced Legal Office Procedures
BCIS 62,Introduction to Medical Coding
BCIS 63,Introduction to Medical Billing
BCIS 70(A-Z),Office Administration Seminar
BCIS 70K,Adobe Acrobat Professional
BCIS 70L,Introduction to Microsoft Outlook
BCIS 75,Medical Front Office Procedures
BCIS 76,Managing Electronic Health Records
BCIS 81,Microsoft Excel for Business
BCIS 84,Basics of Computers
BCIS 85,Microsoft Excel for Windows
BCIS 86,Microsoft Access for Windows
BCIS 97,Special Problems
BCIS 99,Work Experience
BIOL 1,Introduction to Biology
BIOL 2,Introduction to Human Biology
BIOL 5,Ecology and Field Biology
BIOL 7,Sustaining Life on Earth
BIOL 9,Current Issues in Biology
BIOL 9H,Honors Current Issues in Biology
BIOL 11,Zoology
BIOL 12,Botany
BIOL 13,Cell and Molecular Biology
BIOL 15,Introduction to Microbiology
BIOL 20,Human Anatomy
BIOL 21,Human Physiology
BIOL 30,Anatomical Preparations
BIOL 95,Special Studies
BIOL 99,Work Experience
BUS 8,Legal Environment of Business
BUS 18,Database Design
BUS 20,Introduction to Business
BUS 25,Small Business Management
BUS 26,Steps to Starting a Small Business
BUS 27,Introduction to Marketing
BUS 28,Planning and Financing the Small Business
BUS 29,Supervising Employees
BUS 35,Management and Human Relations
BUS 40,Organization Management
BUS 44,Human Resource Management
BUS 50,Sales in Today's World
BUS 60,Advertising and Copywriting
BUS 62,Personal Finance
BUS 64,Principles of Marketing
BUS 66,Retail Management
BUS 68,Business on the Internet
BUS 97,Special Problems
BUS 99,Work Experience
CDF 12,Child  Family  and Community
CDF 14,Child Growth and Development
CDF 18,Children with Special Needs
CDF 20,Curriculum for Children with Special Needs
CDF 30,Adult Supervision and Mentoring in Early Care and Education
CDF 34,The School
CDF 36,Working With School
CDF 40,Observation and Assessment
CDF 44,Positive Child Guidance
CDF 48,Principles and Practices of Teaching Young Children
CDF 55,ECE Second Language Learners
CDF 56,Prenatal  Infant  and Toddler Development
CDF 57,Teaching in a Diverse Society
CDF 59,Anti-Bias Curriculum in Early Childhood Programs
CDF 61,Music for Early Childhood
CDF 62,Creative Art Activities for Children
CDF 63,Introduction to Early Childhood Education Curriculum
CDF 65,Infant/Toddler Curriculum
CDF 66,Literature and Language Arts Curriculum for Children
CDF 67,Math and Science Curriculum for Young Children
CDF 78,Early Childhood Education Practicum
CDF 80,Health  Safety and Nutrition
CDF 84,Administration I: Programs in Early Childhood Education
CDF 85,Admin II: Personnel & Leadership in Early Childhood Education
CDF 97,Special Problems
CDF 99,Work Experience
CDF 131,ECE Mentor Teacher Seminar
CDF 133,Director Mentor Seminar
CHEM 1,General Chemistry I
CHEM 2,General Chemistry II
CHEM 21,Organic Chemistry I
CHEM 22,Organic Chemistry II
CHEM 51,Elementary Inorganic Chemistry
CHEM 52,Elementary Organic and Biochemistry
CHEM 95,Special Studies
CHEM 110,Introductory Chemistry
CHIN 1,First Semester Chinese
CHIN 2,Second Semester Chinese
CLP 30,Career Life Planning
CLP 300,Career Development
CLP 334,Workforce Readiness Strategies
CMST 1,Introduction to Communication Studies
CMST 2,Public Speaking
CMST 2H,Honors Public Speaking
CMST 4,Small Group Communication
CMST 6,Oral Interpretation
CMST 9,Intercultural Communication
CMST 10,Interpersonal Communication
CMST 12,Forensics (Speech and Debate)
CMST 13,Gender and Communication
CMST 14,Argumentation and Debate
CMST 95,Special Studies
COS 100,Introduction to Cosmetology
COS 101,Cosmetology I
COS 102,Cosmetology II
COS 103,Cosmetology III
COS 104,Cosmetology IV
COS 105,Cosmetology V
COS 106,Cosmetology VI
COS 107,Cosmetology to Barbering Crossover
COS 108,Manicuring
COS 109,Esthetician (Skin Care)
COS 110,Instructor Training
COS 111,Cosmetology Refresher
CSCI 2,Business and Computer Information Systems
CSCI 3,Introduction to Computer Science
CSCI 4,Introduction to Programming Concepts and Methodologies
CSCI 10,Computer Architecture and Organization
CSCI 11,Introduction to Game Design and Development
CSCI 17,Computer and Network Security/Security+
CSCI 20,Programming and Algorithms I
CSCI 21,Programming and Algorithms II
CSCI 22,Discrete Structures
CSCI 25,Linux 1  Essentials
CSCI 26,Linux 2  System Administration
CSCI 31,Web Development I
CSCI 32,Web Development II
CSCI 48,Network Fundamentals and Cisco Level 1
CSCI 49,PCs and Peripherals/A+
CSCI 53,Cisco Networks Level 2  Routing & Switching
CSCI 56,Cisco Networks Level 3 & 4  Scaling and Connecting
CSCI 65,Microsoft SQL Database Administration
CSCI 70,Installing and Configuring Windows Server 2012
CSCI 71,Administering Windows Server 2012
CSCI 72,Configuring Advanced Windows 2012 Server Services
CSCI 97,Special Problems
CSCI 99,Work Experience
CSL 20,College & Life Success
CSL 34,Group Experience
CSL 95,Special Studies
DFT 2,Engineering Graphics I
DFT 4,Print Reading for Construction and Architecture
DFT 8,Engineering Graphics II
DFT 12,Beginning AutoCAD Drafting
DFT 16,Print Reading For Industry and Manufacturing
DFT 24,Architectural Drafting Applications
DFT 45,Building Information Modeling I
DFT 46,Building Information Modeling II
DFT 97,Special Problems
DFT 99,Work Experience
DRAM 2,Theatre Arts Appreciation
DRAM 4,Creative Drama and Theatre for Children
DRAM 8,Principles of Acting I
DRAM 9,Principles of Acting II
DRAM 10,Rehearsal and Performance for Musical Theatre
DRAM 11,Youth Outreach Theatre
DRAM 12,Rehearsal & Performance
DRAM 14,Theatre Production Workshop
DRAM 15,Costume Construction I
DRAM 18,Musical Comedy Workshop
DRAM 19,Choreography for Performance
DRAM 21,Introduction to Theatre Design
DRAM 22,Introduction to Stage Lighting
DRAM 95,Special Studies
DRAM 100,Introduction to Professional Theatre
DSPS 204,Fundamentals of Reading
DSPS 206,Fundamentals of Math
DSPS 210,Adaptive Computer Lab
ECON 2,Principles of Macroeconomics
ECON 4,Principles of Microeconomics
ECON 20,Economic History of the U.S.
ECON 20H,Honors Economic History of the U.S.
ECON 25,Introduction to Economics
ECON 35,Introduction to Environmental Economics
ECON 95,Special Studies
EDUC 2,Introduction to Education
EDUC 10,Critical Skills for College Success
EDUC 20,Tutoring Methods
EDUC 95,Special Studies
EDUC 99,Work Experience
EDUC 100,On Course for Student Success
EDUC 110,Critical Skills for College Success
EDUC 210,Critical Skills for College Success
EDUC 302,Preparatory Program for the GED Tests
EDUC 310,Supervised Tutoring
EH 20,Introduction to Environmental Horticulture
EH 22,Landscape Construction
EH 23,Fall Plant Identification
EH 24,Spring Plant Identification
EH 26,Landscape Planning and Design
EH 28,Turfgrass Management and Equipment
EH 30,Irrigation Practices and Materials
EH 38,Greenhouse Production
EH 40,Wine Grape Cultivation
EH 41,Wine Growing Practices
EH 42,Wine Growing Practices
EH 43,Wine Styles and World Viticulture
EH 44,Wine Vineyard Management
EH 47,Fall Winery Operations
EH 48,Spring Winery Operations
EH 60,Principles of Integrated Pest Management
EH 61,Plant Protection Materials
EH 62,Weed Science and Invasive Plants
EH 66,Orchard Production and Management
EH 70,Plant Propagation and Nursery Practices
EH 72,Landscape Business Management
EH 74,Irrigation System Design
EH 99,Work Experience
EMS 97,Special Problems
EMS 99,Work Experience
EMS 110,Emergency Medical Responder
EMS 111,Emergency Medical Technician
EMS 170,Paramedic
EMS 171,Paramedic Clinical and Field Internship
EMS 172,Community Paramedic
EMS 203,Emergency Medical Technician Refresher
ENGL 2,Reading and Composition
ENGL 4,Introduction to Literature
ENGL 6,Creative Writing
ENGL 8,British Literature I
ENGL 10,British Literature II
ENGL 11,Communication and Critical Thinking
ENGL 14,U.S. Literature I
ENGL 15,Film as Literature
ENGL 16,U.S. Literature II
ENGL 20,Introduction to Poetry
ENGL 21,Mythology
ENGL 25,Introduction to Shakespeare
ENGL 26,Queer Film and Literature
ENGL 31,Existential Literature: A Literary Approach to Self Integration
ENGL 35,Cross
ENGL 45,Latino Literature and its Latin American Roots
ENGL 47,Native American Literature
ENGL 52H,Honors Great Works of Literature
ENGL 53H,Honors World Literature
ENGL 60,Creative Writing: Fiction
ENGL 95,Special Studies
ENGL 118,Accelerated Composition Workshop  I and II
ENGL 119,Composition Workshop II
ENGL 215,Foundations of Writing
ENGL 217,Basic Writing Skills
ENGL 219,Composition Workshop I
ENGR 1,Introduction to Engineering
ENGR 3,Plane Surveying I
ENGR 4,Plane Surveying II
ENGR 8,Statics
ENGR 17,Electrical Circuits and Devices
ENGR 45,Materials Science
ENGR 97,Special Problems
ENGR 99,Work Experience
ESL 95,Special Studies
ESL 230,ESL Level 4
ESL 231,ESL Level 5
ESL 232,ESL Level 6
ESL 233,ESL Listening/Speaking 1
ESL 234,ESL Listening/Speaking 2
ESL 235,ESL Listening/Speaking 3
ESL 252,ESL Writing Workshop
ESL 254,ESL Reading Workshop
ESL 256,ESL Grammar & Usage Workshop
ESL 258,Effective Speaking for ESL Students
ESL 300,American Citizenship
ESL 310,Survival/Life Skills for ESL Students
ESL 311,ESL Level 1
ESL 312,ESL Level 2
ESL 313,ESL Level 3
ESL 352A,ESL Workforce Training Adult Education
ESL 352B,ESL Workforce Training Lab
ESL 354,Training
FASH 6,Understanding Fibers  Fabric  and Textiles
FASH 9,Clothing Construction I
FASH 10,Clothing Construction II
FASH 13,Fashion Drawing and Illustration
FASH 18,Visual Merchandising
FASH 40,Flat Pattern/Draping Design
FASH 64,Introduction To Fashion/Retail Careers
FASH 74,Historic Costume
FASH 80,Retail Fashion Buying
FASH 90,Fashion Promotions
FASH 97,Special Problems
FASH 99,Work Experience
FN 2,Nutrition
FN 10,Food Safety and Sanitation
FN 50,Nutrition and Diet Therapy
FN 97,Special Problems
FN 99,Work Experience
FREN 1,First Semester French
FREN 2,Second Semester French
FREN 95,Special Studies
FSC 2,Introduction to Fire Science
FSC 4,Fundamentals of Fire Behavior and Control
FSC 6,Fire Tactics and Strategy
FSC 8,Personal Fire Safety
FSC 10,Building Construction for Fire Protection
FSC 12,Fundamentals of Fire Prevention
