AB 20,Careers in Agriculture  Environmental Science and Natural Resources
FSC 14,Fire Protection Equipment and Systems
FSC 16,Fire Company Organization and Management
FSC 18,Basic Wildland Firefighting
FSC 97,Special Problems
FSC 99,Work Experience
FSC 105,Fire Academy Physical Training
FSC 106,Firefighter I Academy
FSC 111,CAL FIRE Basic 69 Hour Course
FSC 201E,Confined Space Rescue Operations
FSC 203Z,Fire and Safety Training Orientation
GEOG 2,Physical Geography
GEOG 3,Physical Geography Lab
GEOG 4,Cultural Geography
GEOG 5,Economic Geography
GEOG 8,World Regional Geography
GEOG 10,Geography of California
GEOG 12,The American West
GEOG 20,Introduction to Geographic Information Systems
GEOG 21,GIS Data Capture
GEOG 22,Remote Sensing and Spatial Analysis
GEOG 100,Review for ESRI Certification
GEOG 95,Special Studies
GEOL 32,Physical Geology with Lab
GEOL 34,Historical Geology with Lab
GEOL 95,Special Studies
GERM 1,First Semester German
GERM 2,Second Semester German
GERM 3,Third Semester German
GERM 4,Fourth Semester German
HIST 3,World History to 1500
HIST 5,World History since 1500
HIST 6,Modern World History
HIST 8,United States History to 1877
HIST 10,United States History
HIST 18,Multicultural History of the United States
HIST 20,Political History of the Middle East
HIST 26,Roles of Men and Women in American History
HIST 30,History of the African American
HIST 95,Special Studies
HLTH 2,Health and Wellness
HLTH 10,Leisure for Healthy Living
HLTH 20,Current Health Issues in Athletics
HLTH 99,Work Experience
HON 11,Honors Capstone
HON 95,Special Studies
HUM 17,Comparative European Studies
HUM 22,Greco
HUM 95,Special Studies
IDST 12,Strategies for Success in Online Learning
IDST 90,Special Topics
IDST 94,Introduction to Service Learning
ITAL 1,First Semester Italian
ITAL 2,Second Semester Italian
ITAL 95,Special Studies
ITAL 100,Beginning Conversational Italian
ITAL 101,Intermediate Conversational Italian
JOUR 2,Introduction to Reporting and Newswriting
JOUR 10,Beginning Newspaper Production
JOUR 12,Intermediate Newspaper Production
JOUR 95,Special Studies
JOUR 99,Work Experience
JPN 1,First Semester Japanese
JPN 2,Second Semester Japanese
JPN 3,Third Semester Japanese
JPN 4,Fourth Semester Japanese
JPN 95,Special Studies
KIN 1,Introduction to Kinesiology
KIN 2,Introduction to Coaching
KIN 3,Elementary School Physical Education
KIN 5,Sports Officiating
KIN 6,Sports Fitness and Nutrition
KIN 7,Introduction to Athletic Training and Sports Medicine
KIN 8,Athletic Training and Sports Medicine Practicum
KIN 9,Introduction to Personal Fitness Training
KIN 10,Personal Fitness Training Practicum
KIN 11,First Aid and CPR
KIN 12A,Theory of Baseball I
KIN 12B,Theory of Baseball II
KIN 13A,Theory of Basketball I
KIN 13B,Theory of Basketball II
KIN 14A,Theory of Cross Country I
KIN 14B,Theory of Cross Country II
KIN 15A,Theory of Football I
KIN 15B,Theory of Football II
KIN 16A,Theory of Golf I
KIN 16B,Theory of Golf II
KIN 17A,Theory of Soccer I
KIN 17B,Theory of Soccer II
KIN 18A,Theory of Softball I
KIN 18B,Theory of Softball II
KIN 19A,Theory of Track and Field I
KIN 19B,Theory of Track and Field II
KIN 20A,Theory of Volleyball I
KIN 20B,Theory of Volleyball II
KIN 23,Weight Training I
KIN 24,Weight Training II
KIN 25,Olympic Weightlifting
KIN 27,Core Crossfit Training
KIN 28,Plyometric Training
KIN 29,Body Sculpting
KIN 31,Quickfits
KIN 33,Aerobic Mix
KIN 34,Step Aerobics
KIN 35,Aerobic Dance
KIN 36,Gentle Aerobics and Movement
KIN 38,Ballroom Dance I
KIN 39,Ballroom Dance II
KIN 40,Jazz Dance
KIN 41,Gentle Yoga
KIN 42,Yoga I
KIN 43,Yoga II
KIN 45,Pilates
KIN 46,Tai Chi Chuan
KIN 47,Stress Management Techniques and Exercise
KIN 48,Stretching for Life
KIN 49,Fit Mix
KIN 50,Stability Ball Fitness
KIN 51,Butte Fitness and Wellness Center
KIN 52,Walking for Fitness
KIN 53,Jogging/Running for Fitness
KIN 54,Aquatics
KIN 55,Lifeguard Training
KIN 57,Archery
KIN 58,Badminton
KIN 60,Bowling
KIN 61,Golf
KIN 62,Tennis
KIN 63,Track and Field
KIN 64,Baseball
KIN 65,Soccer
KIN 66,Softball
KIN 67,Non
KIN 68,Volleyball I
KIN 69,Volleyball II
KIN 70,Basketball I
KIN 71,Basketball II
KIN 73,Self Defense
KIN 74,Boxing
KIN 75,Jujitsu
KIN 76,Aikido
KIN 77,Karate
KIN 78,Taekwondo
KIN 80,Varsity Baseball
KIN 81,Varsity Basketball
KIN 82,Varsity Cross Country
KIN 83,Varsity Football
KIN 84,Varsity Golf
KIN 85,Varsity Soccer
KIN 86,Varsity Softball
KIN 87,Varsity Track and Field
KIN 88,Varsity Volleyball
KIN 90,Skill Development for Intercollegiate Athletes
KIN 91,Strength and Conditioning for Intercollegiate Athletes
KIN 94,Adaptive Physical Education
KIN 95,Special Studies
LATN 1,First Semester Latin
LATN 2,Second Semester Latin
LATN 3,Third Semester Latin
LATN 95,Special Studies
LIS 11,Research Strategies
LIS 126,Library and Research Skills
LM 40,Life Management
MATH 4,Concepts in Mathematics for Teachers I
MATH 5,Concepts in Mathematics for Teachers II
MATH 7,Formal Logic and Writing
MATH 11,Nature of Mathematics
MATH 12,Mathematics for Business Decisions (Finite Mathematics)
MATH 13,Survey of Calculus
MATH 18,Introduction to Statistics
MATH 20,Trigonometry
MATH 26,College Algebra
MATH 30,Analytic Geometry and Calculus I
MATH 31,Analytic Geometry and Calculus II
MATH 31A,Calculus with MAPLE
MATH 32,Analytic Geometry and Calculus III
MATH 40,Differential Equations
MATH 42,Linear Algebra
MATH 95,Special Studies
MATH 108,Beginning Algebra
MATH 110,Geometry
MATH 124,Intermediate Algebra
MATH 216,Basic Math
MATH 217,Pre
MCS 32,The African American
MCS 36,The Chicano American
MCS 38,The Asian American
MCS 95,Special Studies
MSP 1,Multimedia Careers
MSP 5,Introduction to Interactive Web Design and Authoring
MSP 9,Concept Art and Design for Entertainment Media
MSP 10,Digital Video Design and Production
MSP 12,Two
MSP 30,Introduction to Digital Art
MSP 42,Flash Game Design
MSP 45,3-D Computer Modeling and Animation
MSP 68,T-Shirt Design and Promotional Products
MSP 74,Multimedia Production I
MSP 75,Multimedia Production II
MSP 96,Introduction to Computer Graphics
MSP 99,Work Experience
MUS 1,Music Appreciation
MUS 3,Music Fundamentals
MUS 5,American Popular Music
MUS 6,Women and Music
MUS 7,Jazz Appreciation
MUS 9,World Music
MUS 10,Music Theory I
MUS 11,Musicianship I
MUS 12,Music Theory II
MUS 13,Musicianship II
MUS 14,Music Theory III
MUS 15,Musicianship III
MUS 16,Music Theory IV
MUS 17,Musicianship IV
MUS 20,Guitar I
MUS 21,Guitar II
MUS 22,Guitar III
MUS 23,Guitar IV
MUS 30,Voice I
MUS 31,Voice II
MUS 32,Voice III
MUS 33,Voice IV
MUS 40,Piano I
MUS 41,Piano II
MUS 42,Piano III
MUS 43,Piano IV
MUS 51,Computer Literacy for Musicians
MUS 52,Introduction to Recording Techniques
MUS 53,Introduction to Recording Software Applications
MUS 54,Studio Recording I
MUS 55,Studio Recording II
MUS 60,Performance Ensemble
MUS 95,Special Studies
MUS 99,Work Experience
NR 20,Introduction to Forestry and Natural Resources
NR 26,Environmental World
NR 28,Environmental Management
NR 40,Watershed Ecology and Habitat Restoration
NR 55,Wildlife Management
NR 60,Natural Resources Law
NR 65,Recreational Land Management
NR 70,Geospatial Data Applications
NSG 18,Fundamentals of Nursing
NSG 21,Clinical Nursing I
NSG 22,Gerontology Nursing
NSG 23,Pharmacology Nursing
NSG 24,Musculoskeletal Nursing
NSG 28,Role Development
NSG 31,Clinical Nursing II
NSG 32,Perioperative Nursing and Client Education
NSG 35,Cardiovascular and Respiratory Nursing
NSG 36,Gastrointestinal and Renal/Urinary Nursing
NSG 37,Endocrine Disorders
NSG 41,Clinical Nursing III
NSG 42,Maternal Child Nursing
NSG 43,Neurological and Rehabilitation Nursing
NSG 44,Psych/Mental Health Nursing
NSG 47,Oncology Nursing
NSG 49,Role Development and Vocational Relations/Leadership
NSG 50,Principles of I.V. Therapy
NSG 54,Foundations of Practice
NSG 55,Medical Surgical Nursing I
NSG 56,Clinical Nursing I
NSG 57,Nursing Seminar: Theory Integration I
NSG 60,Maternity Nursing
NSG 61,Pharmacology
NSG 62,Medical
NSG 63,Pediatric Nursing
NSG 64,Transition to ADN Nursing I
NSG 65,Transition to ADN Nursing II
NSG 66,Clinical Nursing II
NSG 67,Complex Medical/Surgical Nursing III
NSG 68,Clinical Nursing III
NSG 69,Gerontology/Community Based Nursing
NSG 70,Theory Integration Seminar II
NSG 71,Theory Integration Seminar III
NSG 74,Nursing Leadership and Management of Patient Care
NSG 77,Complex Medical/Surgical Nursing IV
NSG 78,Clinical Nursing IV
NSG 79,Mental Health/Psychiatric Nursing
NSG 81,Theory Integration Seminar IV
NSG 97,Special Problems
NSG 99,Work Experience
NSG 200,Certified Nurses Aide Basic Nursing Care  Theory
NSG 201,Certified Nurses Aide Basic Nursing Care  Clinical
NSG 202,Acute Care Nurse Assistant
NSG 205,Home Health for the Certified Nurses Aide (CNA)
OLS 323,Occupational and Academic Assessment
OLS 324,Workplace Communication
OLS 325,Literacy for Career Building
OLS 326,Mathematics within Industry
OLS 327,Career Exploration
OLS 328,Strategies for Employment
OLS 329,Occupational Certification Workshop
OLS 330,Experiential Vocational Training
PHIL 2,Introduction to Philosophy
PHIL 5,Environmental Ethics
PHIL 6,Introduction To Logic
PHIL 8,Methods of Argument
PHIL 16,Western Religions
PHIL 18,Eastern Religions
PHIL 58,Teaching About Religion
PHIL 95,Special Studies
PHO 1,History of Photography
PHO 2,Introduction to Photography
PHO 4,Color Photography
PHO 6,Black and White Photography
PHO 7,Stock Photography
PHO 8,Commercial Photography
PHO 11,Alternative Photographic Processes
PHO 14,Introduction to Photographic Portfolios and Books
PHO 15,Introduction to Adobe Lightroom
PHO 20,Photoshop for Photographers
PHO 95,Special Studies
PHO 99,Work Experience
PHYS 10,Concepts of Physics
PHYS 11,Concepts of Physics Laboratory
PHYS 21,College Physics I
PHYS 22,College Physics II
PHYS 41,Physics for Scientists and Engineers I
PHYS 42,Physics for Scientists and Engineers II
PHYS 43,Physics for Scientists and Engineers III
PHYS 51,Problem Solving Strategies for PHYS 41
PHYS 52,Problem Solving Strategies for PHYS 42
PHYS 95,Special Studies
POS 2,United States Government
POS 3,Comparative Politics
POS 12,California State and Local Government
POS 14,Politics of Third World Nations
POS 16,Vital Political Problems
POS 18,International Relations
POS 92,Exploring Leadership
POS 95,Special Studies
POS 99,Work Experience
PSC 10,Introduction to Environmental Science
PSC 11,Earth Science with Lab
PSC 12,Concepts in Physical Science
PSC 20,Introductory Physical Science
PSC 21,Introductory Physical Science Laboratory
PSC 30,Introductory Astronomy
PSC 30H,Honors Introductory Astronomy
PSC 50,Introduction to Weather
PSC 51,Weather Lab
PSC 53,Natural Disasters and Hazards
PSC 95,Special Studies
PSY 1,Principles of Psychology
PSY 3,Introduction to Biological Psychology
PSY 6,Abnormal Psychology
PSY 7,Introduction to Research Methods in Psychology
PSY 10,Peace and Global Studies Capstone
PSY 11,Peace Psychology
PSY 15,Lifespan Psychology
PSY 16,Psychology of Women
PSY 20,Personal and Social Growth and Wellness
PSY 24,Psychology of Sleep  Dreams and Archetypes
PSY 34,Eastern Psychology: Traditions and Practices
PSY 36,Psychology of Meditation and Mindfulness
PSY 41,Socio
PSY 95,Special Studies
PSY 99,Work Experience
READ 2,Speed Reading
READ 95,Special Studies
READ 126,College Study Skills
READ 127,Reading for College Success
READ 223,Reading I
READ 225,Reading II
RLS 20,Real Estate Principles
RLS 25,Real Estate Practices
RLS 30,Legal Aspects of Real Estate
RLS 35,Real Estate Appraisal
RLS 40,Real Estate Finance
RLS 45,Real Estate Economics
RLS 50,Escrow Procedures
RLS 55,Property Management
RLS 60,Real Estate Mortgage Brokerage
RLS 99,Work Experience
RT 97,Special Problems
RT 99,Work Experience
RT 110,Fundamentals of Respiratory Care
RT 115,Clinical Preparation for Respiratory Care
RT 120,Concepts in Respiratory Care
RT 125,Introduction to Clinical Respiratory Care
RT 128,Respiratory Care Pharmacology
RT 135,Fundamentals of Clinical Respiratory Care
RT 140,Fundamentals of Intensive Respiratory Care
RT 142,Neonatal and Pediatric Respiratory Care
RT 145,Advanced Respiratory Care Procedures
RT 155,Respiratory Care Practicum I
RT 160,Respiratory Care Seminar II
RT 165,Respiratory Care Practicum II
RTVF 12,Mass Media and Society
RTVF 13,Exploring Contemporary Television
RTVF 14,Introduction to Media Writing
RTVF 15,Introduction to Film
RTVF 30,Digital Audio Production
RTVF 40,Digital Video Production
RTVF 55,Music Video Production
RTVF 97,Special Problems
RTVF 99,Work Experience
SIGN 1,American Sign Language 1
SIGN 2,American Sign Language II
SOC 2,Principles of Sociology
SOC 4,Modern Social Problems
SOC 5,Our Sustainable Future
SOC 8,Introduction to Marriage  Family and Intimate Relationships
SOC 10,Introduction to Crime and Society
SOC 14,Sociology of Gender
SOC 20,Introduction to Race and Ethnicity
SOC 30,Sociology of Inequality
SOC 55,Sustainability Studies Seminar
SOC 95,Special Studies
SOC 99,Work Experience
SPAN 1,First Semester Spanish
SPAN 2,Second Semester Spanish
SPAN 3,Third Semester Spanish
SPAN 4,Fourth Semester Spanish
SPAN 14,Hispanic Short Stories
SPAN 16,Hispanic Film
SPAN 95,Special Studies
SPAN 100,Beginning Conversational Spanish
SPAN 101,Intermediate Conversational Spanish
SPE 306,Work Activity for Adults with Disabilities
SPE 308,Functional Academics for Persons with Substantial Disabilities
SPE 310,Integration into the Community for Persons with Substantial
SPE 311,Horticultural Arts for Persons with Substantial Disabilities
SPE 312,Applied Arts for Persons with Substantial Disabilities
SPE 313,Fine Arts for Persons with Substantial Disabilities
SPE 314,Performing Arts for Persons with Substantial Disabilities
SPE 315,Culinary Arts and Nutrition Skills for Persons with Substantial
SPE 316,Health and Wellness for Persons with Substantial Disabilities
SPE 318,Communication Skills for Persons with Substantial Disabilities
SPE 320,Independent Living Skills for Persons with Substantial Disabilities
SPE 321,Individual Social Growth Skills for Persons with Substantial
SPE 322,Group Social Growth for Persons with Substantial Disabilities
WKE 198,General Work Experience
WLD 20,Beginning Welding
WLD 21,Intermediate Welding
WLD 22,Oxyacetylene Welding and Flame Cutting
WLD 24,Shielded Metal Arc Welding (Stick Electrode)
WLD 25,Fabrication Practicums
WLD 26,Symbol Reading  Blue Print Interpretation and Computations
WLD 28,Mig and Tig Arc Welding
WLD 30,Heavy Plate Welding
WLD 32,Integrated Welding Applications
WLD 34,Pipe and Tube Welding
WLD 36,Welder Qualification
WLD 40,Welding Equipment Maintenance and Service
WLD 42,Introduction to Welding Inspection
WLD 50,Pipe Fitting and Cutting
WLD 55,Power Generation and Petroleum Chemical Pipe & Tube Welding
WLD 56,Welding Industry Employment Preparation
WLD 97,Special Problems
WLD 99,Work Experience
WLD 150,Shop Practices for Beginning Welders
WLD 152,Shop Practices for Intermediate Welders
WLD 154,Shop Practices for Welders I
WLD 156,Shop Practices for Welders II
WLD 158,Shop Practices for Pipe and Tube Welders
WLD 159,Shop Practices for Advanced Pipe Welders
WLD 160,Welding Certification Practices
WLD 162,Pipe and Tube Welding Certification Practices
WLD 164,Welding Recertification Practices